1,96,497,158,552
1,64,493,162,558
1,56,497,162,554
1,57,492,157,553
1,56,500,153,554
1,114,494,160,532
1,118,489,157,529
1,302,365,324,392
1,305,369,326,390
1,305,365,325,393
1,302,368,328,389
1,294,364,326,400
1,296,364,328,396
1,297,364,328,394
1,294,358,328,396
1,293,361,325,397
1,294,360,329,396
1,297,361,329,398
1,293,366,333,397
1,294,360,329,400
1,290,360,329,400
1,293,350,329,397
1,305,368,328,385
1,305,368,326,388
1,302,369,326,386
1,344,698,368,730
1,340,696,372,730
1,338,692,370,726
1,340,692,384,738
1,340,694,380,740
1,340,696,382,738
1,340,692,380,738
1,96,497,158,552
